brand,desc,disc_price,actual_price,image_url
Womanista,Women's Georgette Saree with Blouse (TKIM811_Black_Free Size_Black),639,1999,https://m.media-amazon.com/images/I/81XKaSKvlyL._AC_UL320_.jpg
ANNI DESIGNER,Women's Art Silk Saree with Blouse Piece,379,2599,https://m.media-amazon.com/images/I/91K7kfay53L._AC_UL320_.jpg
Jaanvi fashion,Women's Plain weave Pure Georgette Saree With Blouse Piece,699,2000,https://m.media-amazon.com/images/I/71AlQjtM-tL._AC_UL320_.jpg
ANNI DESIGNER,Women's Linen Cotton Printed Saree With Blouse Piece,379,2500,https://m.media-amazon.com/images/I/819tIXNOy3L._AC_UL320_.jpg
GoSriKi,Women's Jute Silk Saree With blouse piece,569,2997,https://m.media-amazon.com/images/I/61dbP1wFneL._AC_UL320_.jpg
Pandadi Saree,Women's Chiffon Bandhani Saree with Blouse Piece,730,1999,https://m.media-amazon.com/images/I/81jzAjv5rXS._AC_UL320_.jpg
DWIJU,Women's Hand Block Jaipuri Printed Pure Cotton Mulmul Traditional Ethnic Saree,499,2499,https://m.media-amazon.com/images/I/81d2aSnMtvL._AC_UL320_.jpg
Yashika,Women georgette saree SDPL-MIRROR,619,2247,https://m.media-amazon.com/images/I/710UYeqiESL._AC_UL320_.jpg
ANNI DESIGNER,Women's Pure Cotton Printed Saree,399,2999,https://m.media-amazon.com/images/I/91DxKcRQmUS._AC_UL320_.jpg
OOMPH!,Women’s Satin Plain Sarees Satin Plain Satin,269,1670,https://m.media-amazon.com/images/I/91mv3AGGwXL._AC_UL320_.jpg
Clothfab,Women's Hot New Releases Sarees for Women Latest Design Party Wear New Collection 2021 Saree below 500 Rupees Sarees (Red-Yellow),499,1599,https://m.media-amazon.com/images/I/71fnHZeVG5L._AC_UL320_.jpg
PERFECTBLUE,Women's Digital Linen Blend Saree with Unstitched Blouse Piece,459,1999,https://m.media-amazon.com/images/I/81Pxmepi-mL._AC_UL320_.jpg
SOURBH,Women's Cotton Blend Triangle Shibori Pattern Printed Saree with Blouse Piece,489,1999,https://m.media-amazon.com/images/I/81vYNImJ+QL._AC_UL320_.jpg
Satrani,Women's Chiffon with Blouse Piece Saree,619,2738,https://m.media-amazon.com/images/I/81WwpOafDyL._AC_UL320_.jpg
