0,1,2,3,4,5,6,7,8,9,10
186,6037,225,7482,9135,2012,5696,468,3063,6130,1347
187,13218,9012,2048,12482,943,7098,15242,9793,2467,6695
188,7483,11221,3767,11155,3859,6490,5644,8170,11321,3965
189,2799,3763,5416,7798,7562,2919,3581,1597,13989,5526
190,2638,4532,16021,3188,6735,10486,4508,8109,12659,5758
191,237,10054,4348,7731,11718,2735,7630,8453,11875,5785
192,11147,3216,638,2816,4006,7154,11645,4998,11934,5327
193,14001,15017,4830,7835,3157,15170,1652,10744,14744,10009
194,1318,471,1704,500,912,276,7151,2894,15105,7865
195,3477,15936,11023,14698,6974,11927,1089,4659,4320,14524
196,147,4161,13114,12753,7077,8110,2400,11647,1963,1604
197,2150,1810,8602,78,5514,9347,13976,12657,12370,10830
198,14173,15432,3537,15848,1705,393,7396,3336,2454,14765
199,1164,15344,16048,13739,12143,560,8922,3601,1254,9057
200,4444,872,7192,15318,8449,1667,15187,9221,12828,7917
201,62,2664,11105,3889,6810,11089,8933,4959,9368,13192
202,15858,1182,14291,7814,9252,9150,4262,7609,60,8226
203,4332,11658,5693,7513,3255,3736,177,1961,28,7879
204,15487,7272,5389,1597,15234,12287,5167,555,5263,14204
205,15429,12,4980,9313,11895,6693,8415,1066,2235,3153
206,439,4415,14428,1148,2705,303,5113,11953,7566,1814
207,8620,12252,11317,9052,3427,6717,3619,2358,4802,4464
208,6425,11180,11011,4703,12168,4474,10155,104,10288,3580
209,5368,14268,562,1548,5859,7998,13036,5430,1900,5767
210,7381,253,6785,5282,4607,14585,5104,5968,6907,1616
211,6577,11499,8851,14071,10980,2621,3188,13044,1521,13616
212,5834,8179,10204,3144,8215,15851,7191,4218,7042,3152
213,5229,6435,8965,2294,16014,7289,9067,1118,3863,6085
214,11421,11814,4628,8036,6530,3130,3194,14991,6138,4054
215,2024,866,158,116,14859,2188,760,7,4129,13497
216,151,88,967,5775,15997,710,871,13127,961,11570
217,691,10052,14606,13165,14735,11406,16097,4553,10494,13539
218,12548,11037,12433,10479,14401,14588,12519,8351,11217,12917
219,7026,11325,5047,11240,11312,64,3225,453,7932,11065
220,10362,14822,724,11474,1388,4213,3319,10569,6828,12674
221,4249,1620,3724,2047,4964,3255,1961,177,8008,9613
222,61,3119,3684,618,10591,15420,53,13688,9595,7740
223,13186,287,9064,8955,3114,7665,8546,5576,9739,7453
224,2247,13399,4214,6973,1921,3082,4441,13473,8091,14879
225,7482,9135,6037,2012,186,5696,5686,2670,6991,3063
226,6356,10833,6151,14787,89,2133,5741,11863,5597,249
227,4449,812,702,542,1386,564,9622,7879,28,7513
228,14887,7870,6706,1916,14879,13391,10144,9618,11493,8092
229,1695,1596,13283,8664,13073,13132,6005,8913,11127,1827
230,56,7047,3869,15251,7459,3881,10308,9017,10009,2965
231,14291,926,2219,14849,15039,60,9642,1233,8263,1814
232,797,386,1503,2650,2046,3644,128,7006,14775,10452
233,8336,4953,29,15780,5842,3341,9447,15484,12514,15176
234,7194,4274,6981,15017,3851,8192,1406,10995,9464,12785
235,3382,9385,8727,8776,7833,12424,13803,14307,11128,2725
236,5096,3461,10011,15978,3886,1949,3980,13430,3310,9040
237,15486,300,11718,950,10293,5813,11482,15278,5209,11875
238,16016,10524,6633,13133,14801,15671,12650,209,8577,6676
239,3526,4896,1281,3095,1304,6359,10892,11247,3205,108
240,766,13417,5624,12159,3891,2173,11793,5976,12729,13718
241,162,3375,9595,9482,3276,5218,2534,1108,406,12930
242,12634,9557,2298,7430,5876,4556,6012,4763,11470,15851
243,4238,3009,13960,10254,12583,12600,8202,2790,11303,6195
244,10489,4,1809,1080,15160,357,4621,2132,10258,4239
245,9700,12127,11534,3952,11554,6474,12444,1659,5875,8308
246,12964,10477,11985,7578,10934,15973,9829,12310,526,2113
247,15381,1233,9913,8263,2792,7319,14487,7757,1976,14630
248,1,656,8277,5914,7647,5328,3629,713,2089,4731
249,1464,8517,15942,7136,5525,14727,1032,8723,3063,1542
250,6432,5619,9237,5762,2519,6833,772,3863,11161,1574
251,13531,8673,10858,1503,2035,1407,1827,10240,67,386
252,5992,1155,7663,8708,10859,3899,7689,3221,1525,3602
253,704,6146,1862,14849,10964,16123,7595,210,6860,11110
254,10969,1832,13402,9036,11581,12556,2200,11764,7420,11898
255,4605,910,7185,14442,10076,5399,2508,8901,10585,12399
256,1553,75,12621,4754,585,6895,2114,610,9044,15075
257,398,10009,6513,13803,6916,1514,8838,13687,7744,6204
258,3719,12498,5456,7683,12326,464,9891,732,10754,9127
259,8417,8128,9344,2795,12278,4327,5746,6496,5475,3840
260,14762,7185,132,5805,11939,4491,5019,10076,13595,956
261,397,6158,14748,6313,13791,7840,3966,2572,1362,6910
262,9845,5159,12934,10254,4411,13256,935,4232,11206,7717
263,3137,7912,9447,15176,233,1920,15484,12514,613,3341
264,10148,13839,10328,5419,6310,5770,1444,6897,10079,1675
265,0,8688,3859,13305,960,6100,13915,9339,11168,3382
266,8480,329,3235,13264,6685,933,13739,144,2079,8838
267,5554,4392,7202,6806,16002,5486,2248,14344,7516,13296
268,586,9151,5396,11713,5611,15133,4147,823,9004,3388
269,8631,15039,12937,3628,14849,9246,12825,4393,12719,15051
270,174,1434,10283,11611,13975,8848,4407,9079,1694,10351
271,5981,13831,7414,2026,172,14573,1465,15585,14442,8301
272,12060,9416,11098,4551,6378,1453,6322,1283,6863,3857
273,3869,5791,3674,5371,11064,15,12953,10508,6462,14423
274,3640,7123,4263,5472,13279,13475,5500,3623,438,12946
275,11964,804,10487,359,7601,11943,10392,14698,7026,1673
276,500,4292,4011,1669,615,3754,658,15105,1135,1328
277,8309,3808,8470,7578,12310,12226,7998,8321,14486,11936
278,921,1350,2172,12574,83,1460,4188,4548,12156,9877
279,4550,8711,5530,9297,11493,11222,14494,10288,2455,9329
280,3189,5899,3636,6654,7705,11923,4838,1780,15330,14472
281,3751,3764,136,796,9752,1389,9025,9359,1285,129
282,12585,1291,5138,179,10569,416,5593,1297,789,1724
283,433,46,3375,6774,2323,2517,5769,6989,7619,6990
